0.060	0.054	0.045	0.018
0.024	0.054	0.000	0.018
0.173	0.039	0.011	0.017
0.061	0.067	0.055	0.025
0.108	0.074	0.034	0.034
0.178	0.083	0.023	0.034
0.000	0.083	0.000	0.025
0.185	0.085	0.023	0.023
0.000	0.085	0.000	0.023
0.182	0.052	0.014	0.023
0.084	0.018	0.011	0.023
0.029	0.018	0.000	0.014
0.111	0.012	0.005	0.014
0.244	0.006	0.001	0.014
0.029	-0.001	0.001	0.011
0.016	-0.001	0.000	0.005
0.191	-0.000	0.000	0.001
0.069	0.000	0.000	0.001
0.043	0.000	0.000	0.001
0.161	-0.000	0.000	0.001
0.156	-0.001	0.000	0.000
0.000	-0.001	0.000	0.000
0.171	-0.001	0.000	0.000
0.009	-0.001	0.000	0.000
0.119	-0.001	0.001	0.000
0.126	-0.001	0.000	0.000
0.055	-0.001	0.000	0.000
0.234	-0.001	0.000	0.000
0.042	-0.001	0.001	0.000
0.064	-0.001	0.001	0.000
0.127	0.015	0.006	0.000
0.033	0.015	0.000	0.000
0.204	0.031	0.008	0.001
0.000	0.031	0.000	0.001
0.160	0.038	0.012	0.001
0.120	0.032	0.013	0.001
0.085	0.021	0.012	0.006
0.099	0.034	0.017	0.008
0.144	0.055	0.019	0.012
0.080	0.060	0.037	0.012
0.008	0.060	0.000	0.012
0.171	0.060	0.017	0.013
0.029	0.060	0.000	0.013
0.200	0.053	0.013	0.013
0.084	0.065	0.039	0.017
0.097	0.080	0.041	0.017
0.112	0.069	0.031	0.019
0.012	0.069	0.000	0.019
0.128	0.065	0.025	0.025
0.168	0.053	0.016	0.025
0.112	0.038	0.017	0.017
0.000	0.038	0.000	0.017
0.180	0.036	0.010	0.017
0.008	0.036	0.000	0.017
0.116	0.041	0.017	0.017
0.126	0.043	0.017	0.017
0.175	0.076	0.022	0.017
0.000	0.076	0.000	0.017
0.175	0.065	0.019	0.017
0.008	0.065	0.000	0.017
0.144	0.064	0.022	0.017
0.079	0.053	0.033	0.017
0.077	0.053	0.000	0.017
0.225	0.054	0.012	0.017
0.043	0.066	0.077	0.019
0.032	0.066	0.000	0.019
0.180	0.075	0.021	0.021
0.020	0.075	0.000	0.019
0.175	0.066	0.019	0.019
0.165	0.053	0.016	0.019
0.132	0.035	0.013	0.019
0.120	0.019	0.008	0.016
0.132	0.007	0.003	0.013
0.000	0.007	0.000	0.013
0.216	0.000	0.000	0.013
0.060	0.007	0.005	0.008
0.058	0.005	0.004	0.008
0.100	0.000	0.000	0.005
0.066	0.000	0.000	0.005
0.153	-0.002	0.001	0.004
0.144	-0.002	0.001	0.003
0.003	-0.002	0.000	0.001
0.148	-0.001	0.000	0.001
0.148	-0.001	0.000	0.000
0.004	-0.001	0.000	0.000
0.165	-0.002	0.000	0.000
0.179	-0.002	0.000	0.000
0.072	-0.002	0.001	0.000
0.044	-0.002	0.002	0.000
0.096	-0.002	0.001	0.001
