-0.003	-0.799	0.100
-0.003	-0.791	0.096
-0.003	-0.788	0.095
-0.003	-0.786	0.094
-0.002	-0.782	0.094
-0.002	-0.778	0.177
-0.002	-0.777	0.177
-0.002	-0.775	0.095
-0.001	-0.774	0.096
-0.001	-0.771	0.098
-0.001	-0.764	0.102
-0.001	-0.760	0.104
-0.001	-0.757	0.106
0.000	-0.754	0.107
0.000	-0.752	0.108
0.001	-0.749	0.110
0.001	-0.741	0.111
0.001	-0.737	0.108
0.001	-0.734	0.106
0.001	-0.732	0.104
0.002	-0.727	0.098
0.002	-0.721	0.093
0.003	-0.717	0.090
0.003	-0.715	0.089
0.003	-0.714	0.088
0.003	-0.712	0.087
0.003	-0.708	0.085
0.003	-0.705	0.081
0.003	-0.699	0.077
0.002	-0.698	0.076
0.002	-0.697	0.191
0.001	-0.696	0.191
0.001	-0.696	0.190
0.001	-0.694	0.085
0.001	-0.693	0.087
0.001	-0.690	0.089
0.001	-0.685	0.095
0.001	-0.683	0.098
0.000	-0.680	0.100
-0.000	-0.678	0.102
-0.000	-0.676	0.103
-0.000	-0.675	0.105
-0.001	-0.672	0.107
-0.000	-0.671	0.109
0.000	-0.669	0.110
0.001	-0.666	0.113
0.001	-0.662	0.111
0.001	-0.651	0.107
0.001	-0.647	0.104
0.001	-0.633	-0.016
0.002	-0.624	0.114
0.003	-0.621	0.111
0.003	-0.618	0.108
0.003	-0.611	0.102
0.003	-0.607	0.098
0.003	-0.601	0.093
0.003	-0.598	0.091
0.002	-0.596	0.090
0.002	-0.593	0.088
0.002	-0.590	0.086
0.002	-0.587	0.083
0.002	-0.584	0.080
0.002	-0.581	0.078
0.001	-0.579	0.185
0.001	-0.577	0.103
0.002	-0.570	0.111
0.002	-0.565	0.112
0.002	-0.563	0.111
0.002	-0.562	0.110
0.002	-0.560	0.109
0.002	-0.556	0.107
0.001	-0.554	0.106
0.002	-0.552	0.105
0.004	-0.548	0.104
0.006	-0.542	0.099
0.006	-0.538	0.097
0.007	-0.536	0.096
0.007	-0.534	0.095
0.007	-0.531	0.093
0.007	-0.527	0.091
0.007	-0.521	0.089
0.005	-0.532	0.105
0.003	-0.547	0.085
0.003	-0.540	0.077
0.003	-0.538	0.076
0.002	-0.535	0.190
0.001	-0.535	0.084
0.001	-0.531	0.089
0.001	-0.525	0.095
0.001	-0.521	0.098
0.001	-0.517	0.103
0.001	-0.515	0.104
0.001	-0.511	0.108
0.000	-0.510	0.108
0.000	-0.510	0.108
0.000	-0.508	0.110
0.000	-0.505	0.113
0.001	-0.501	0.111
0.001	-0.496	0.108
0.000	-0.493	0.106
0.001	-0.486	0.103
0.001	-0.478	0.099
0.001	-0.472	0.097
0.002	-0.470	0.096
0.002	-0.467	0.095
0.002	-0.463	0.177
0.002	-0.459	0.177
0.002	-0.457	0.177
0.002	-0.454	0.095
0.002	-0.449	0.099
0.002	-0.447	0.100
0.003	-0.443	0.102
0.003	-0.437	0.106
0.004	-0.430	0.109
0.004	-0.426	0.111
0.004	-0.423	0.112
0.004	-0.420	0.111
0.004	-0.417	0.109
0.005	-0.414	0.105
0.005	-0.411	0.103
0.004	-0.404	0.098
0.005	-0.398	0.092
0.006	-0.391	0.086
0.006	-0.389	0.085
0.005	-0.389	0.086
0.004	-0.382	0.078
0.004	-0.379	0.075
0.004	-0.377	0.191
0.004	-0.376	0.085
0.004	-0.375	0.088
0.004	-0.373	0.090
0.004	-0.372	0.091
0.003	-0.370	0.092
0.003	-0.367	0.096
0.003	-0.364	0.098
0.003	-0.361	0.101
0.003	-0.359	0.102
